Rank,TLA,crash_road,side_road,northing,easting,latitude,longitude,minorInjuryCrashes,seriousInjuryCrashes,fatalCrashes,totalInjuryCrashes,minorInjuries,seriousInjuries,fatalities,totalCasualties
1,Auckland,Glenbrook Road,Kingseat Road,5885015,1760350,-37.16753538,174.8060589,17,4,2,23,40,7,3,50
2,Taupo District ,SH 1 (Thermal Explorer Highway),Poihipi Road,5715010,1867032,-38.67325256,176.0694107,20,5,0,25,35,6,0,41
3,Taupo District ,SH 5 (Napier - Taupo Road),Arrowsmith Avenue,5711486,1869261,-38.70428891,176.0963653,15,2,1,18,25,4,1,30
4,Rotorua District ,SH 30 (Hemo Road),SH 5 (Old Taupo Road),5770782,1884379,-38.16603506,176.2459582,14,3,0,17,20,3,0,23
5,Napier City ,SH 2 (Main North Road),SH2B (Napier - Hastings Expressway),5623356,1933518,-39.47476686,176.8770886,14,5,1,20,24,7,1,32
6,Auckland,Waiuku Road,Attewell Road,5878541,1765886,-37.22489519,174.8698208,16,1,2,19,29,2,2,33
7,Auckland,Great North Road,Bullock Track,5918542,1754254,-36.86647469,174.7305613,35,5,1,41,48,5,1,54
8,New Plymouth District ,SH 3 (Devon Road),Mangati Road,5678846,1699827,-39.03374371,174.1533783,16,7,0,23,31,12,0,43
9,Waikato District ,SH 1B (Telephone Road),Holland Road,5819850,1808628,-37.74488555,175.3678949,18,1,1,20,33,1,1,35
10,Auckland,Tamaki Drive,Ngapipi Road,5919957,1760965,-36.85260541,174.8055181,27,7,0,34,31,7,0,38
11,Auckland,Dairy Flat Highway,Coatesville - Riverhead Highway,5935924,1748984,-36.71069308,174.6680613,15,5,0,20,22,5,0,27
12,Auckland,Pukekohe East Road,Mill Road,5881320,1773839,-37.19841075,174.9587705,15,0,1,16,21,0,1,22
13,South Waikato District ,SH 1,SH 5 (Thermal Explorer Highway),5792236,1843058,-37.98498918,175.7675711,10,10,2,22,26,13,3,42
14,Christchurch City ,SH 1 (Russley Road),Memorial Avenue,5184311,1563598,-43.4932394,172.5497777,26,4,0,30,34,4,0,38
15,Upper Hutt City ,SH 2 (River Road),Whakatiki Street,5446138,1771838,-41.11788104,175.0468123,9,8,0,17,15,10,0,25
16,Auckland,Hibiscus Coast Highway,Silverdale Street,5946088,1749948,-36.61895292,174.6768617,18,2,1,21,30,3,1,34
17,Marlborough District ,SH 1,Ferry Road,5409656,1680353,-41.46066476,173.962153,12,2,1,15,20,3,1,24
18,New Plymouth District ,SH 3 (Main North Road),Princess St,5682356,1708284,-39.00111452,174.2505104,17,0,1,18,31,0,1,32
19,Hastings District ,SH 50 (Napier - Hastings Expressway),SH 50 (Links Road),5613540,1930935,-39.56401103,176.8520043,14,4,1,19,28,5,1,34
20,Auckland,Te Irirangi Drive,Ormiston Road,5907459,1769327,-36.96374598,174.902062,20,3,0,23,31,4,0,35
21,Palmerston North City ,SH 3 (Rangitikei Line),SH 54 (Kairanga Bunnythorpe Road),5533644,1818760,-40.31909389,175.5746844,13,5,0,18,18,7,0,25
22,Hauraki District ,SH 2,SH 25,5871912,1807722,-37.27621876,175.3429102,9,4,2,15,19,5,2,26
23,Auckland ,SH 1N,Wayby Valley Road,5978422,1738806,-36.32924965,174.5465027,9,3,1,13,23,6,1,30
24,Hastings District ,SH 2 (Railway Road South),SH 50A Paki Paki Road),5599568,1925321,-39.69177431,176.793658,8,5,0,13,19,6,0,25
25,Christchurch City ,SH 74 (Main North Road),SH 74 (Queen Elizabeth II Drive),5185299,1568976,-43.48458588,172.6163479,29,6,1,36,40,9,1,50
26,Christchurch City,Marshland Road,Shirley Road,5182709,1572749,-43.50805366,172.6628754,28,6,0,34,42,6,0,48
27,Christchurch City,Barrington Street,Lincoln Road,5178543,1568401,-43.54539328,172.6088447,23,5,1,29,34,6,1,41
28,Dunedin City ,SH 1,Great King Street,4918962,1407197,-45.85591206,170.5164611,24,3,0,27,39,3,0,42
29,Auckland,Fanshawe Street,Albert Street,5920942,1757400,-36.84433077,174.7653434,29,1,0,30,35,1,0,36
30,Christchurch City,Linwood Avenue,Aldwins Road,5179867,1573589,-43.53367354,172.6731288,20,11,0,31,25,11,0,36
31,Christchurch City,Marshland Road,Hawkins Road,5187708,1572355,-43.46302737,172.6582551,5,8,0,13,16,10,0,26
32,Wellington City ,SH 1 (Inner City Bypass),Victoria Street,5426862,1748338,-41.29606711,174.7717115,21,1,1,23,34,2,1,37
33,Auckland,Symonds Street,City Road,5919507,1757321,-36.8572738,174.764755,19,5,0,24,19,5,0,24
34,Palmerston North City ,SH 3 (Rangitikei Street),Featherston Street,5530149,1821348,-40.34986698,175.6063248,29,2,0,31,34,2,0,36
35,Waipa District ,SH 1 (Achilles Avenue),Shakespeare Street,5802984,1818019,-37.8945706,175.4794701,12,3,2,17,18,4,2,24
